Term,Category,Reasoning,NLD
Microfracture,Geological Structure,"The NLD defines a microfracture as a planar discontinuity representing an internal arrangement within a rock, which fits the definition of a Geological Structure.","Microfratura é uma descontinuidade planar de origem tectônica ou diagenética que, em escala microscópica, funciona como um conduto para o fluxo de fluidos ao conectar poros isolados e controlar a permeabilidade efetiva de reservatórios carbonáticos."
Macrofracture,Geological Boundary,"The NLD defines a macrofracture as a 'planar discontinuity of natural origin in a rock', which directly corresponds to the definition of a Geological Boundary as a physical discontinuity.","Macrofatura é uma descontinuidade planar de origem natural em uma rocha, que é identificável a olho nu em testemunhos ou afloramentos. Nos reservatórios carbonáticos do Pré-Sal, estas feições constituem um elemento crucial da permeabilidade secundária. Elas atuam como condutos preferenciais que conectam o sistema poroso da rocha e controlam o fluxo de fluidos em escala de reservatório."
Joint,Geological Structure,"The NLD defines a joint as a tensile fracture and explicitly calls it a 'structure', which aligns with the GeoCore definition of a Geological Structure as the internal arrangement of a Geological Object.","Junta é uma fratura de tração que se forma em resposta a um esforço tensional, caracterizada pela ausência de deslocamento cisalhante significativo ao longo de seu plano. Nos reservatórios carbonáticos do Pré-Sal, estas estruturas podem formar redes que controlam a permeabilidade secundária e a conectividade do sistema poroso. A sua caracterização é fundamental para a modelagem de fluxo e o planejamento geomecânico dos poços."
Karst,Geological Structure,"The NLD defines Karst as a geomorphological system of features (vugs, conduits, caves) that represents the internal arrangement of a rock body resulting from a dissolution process.","Carste é um sistema geomorfológico que se desenvolve em rochas solúveis através de sua dissolução por águas meteóricas, tipicamente durante a exposição subaérea de plataformas carbonáticas. Este processo cria uma porosidade secundária de alta conectividade, como vugos, condutos e cavernas, que constitui as zonas de melhor qualidade de reservatório no Pré-Sal."
Paleokarst,Geological Structure,"The NLD describes Paleokarst as a geological feature consisting of a complex network of pores, conduits, and caves, which represents the internal arrangement of a geological object (the carbonate rock).","Paleocarste é uma feição geológica fóssil e soterrada que resulta da dissolução de rochas carbonáticas por águas meteóricas durante um período de exposição subaérea. Este processo cria uma rede complexa de poros, condutos e cavernas que aumenta drasticamente a porosidade e a permeabilidade da rocha reservatório. No contexto do Pré-Sal brasileiro, o paleocarste é um dos principais controles na qualidade dos reservatórios, formando zonas de altíssima produtividade."
Vadose Zone,fiat object part,"The NLD defines this term as a material portion of rock whose boundaries are demarcated by a fiat surface (the water table), not by an intrinsic physical discontinuity.","Zona Vadosa é uma zona diagenética que corresponde à porção insaturada de rochas carbonáticas situada acima do nível freático durante um período de exposição subaérea. Neste ambiente, a interação com águas meteóricas resulta em dissolução e cimentação que modificam intensamente a porosidade e a permeabilidade. A sua ocorrência representa um controle fundamental na heterogeneidade e na qualidade dos reservatórios do Pré-Sal."
Phreatic Zone,site,"The NLD defines this as a 'zona' (zone) whose location is determined relative to a material entity (below the water table), which fits the definition of a three-dimensional immaterial entity.","Zona Freática é uma zona diagenética de exposição subaérea, localizada abaixo do nível freático, que se caracteriza pela saturação completa do sistema poroso por água. Neste ambiente, a precipitação de cimentos de calcita equigranular ou a dissolução de minerais instáveis são processos que impactam diretamente a qualidade dos reservatórios carbonáticos do Pré-Sal."
Meteoric Diagenesis,Geological Process,"The NLD explicitly defines the term as a 'set of physicochemical processes that alters sediments and rocks', which directly matches the definition of a Geological Process.","Diagênese meteórica é o conjunto de processos físico-químicos que altera sedimentos e rochas carbonáticas devido à interação com águas de origem atmosférica, tipicamente em um ambiente de exposição subaérea. Os principais processos envolvidos são a dissolução de minerais carbonáticos instáveis e a precipitação de cimento de calcita de baixo magnésio, promovendo a estabilização mineralógica. No contexto do Pré-Sal, a dissolução meteórica é fundamental para a geração de porosidade secundária (vugular e móldica), sendo um dos principais controles na qualidade dos reservatórios."
Burial Diagenesis,Geological Process,"The NLD defines the term as a 'set of diagenetic processes that modifies sedimentary rocks', which directly aligns with the definition of a Geological Process.","Diagenese de Soterramento é o conjunto de processos diagenéticos que modifica as rochas sedimentares sob condições de aumento progressivo de temperatura e pressão devido ao soterramento contínuo. Esses processos incluem compactação mecânica e química, cimentação, dissolução por pressão e transformações minerais. No contexto dos reservatórios carbonáticos do Pré-Sal, esta diagênese exerce um controle fundamental sobre a evolução da porosidade e permeabilidade, definindo a qualidade final da rocha reservatório."
Hydrothermal Diagenesis,Geological Process,The NLD explicitly defines the term as a 'set of diagenetic processes' that modifies the composition of rocks through the interaction with fluids.,"Diagênese Hidrotermal é um conjunto de processos diagenéticos que resulta da interação de rochas com fluidos aquecidos e quimicamente reativos em condições de soterramento. No contexto do Pré-Sal brasileiro, este processo é comumente associado a eventos magmáticos e à circulação de fluidos por zonas de falhas, exercendo um controle fundamental na qualidade dos reservatórios carbonáticos através da dissolução e precipitação de minerais."
Intercrystalline Porosity,site,"The NLD defines the term as the 'empty spaces located between the constituent crystals of a rock,' which corresponds to the BFO definition of a site as a three-dimensional immaterial entity whose boundaries are determined by material entities.","Porosidade Intercristalina é um tipo de porosidade matricial que corresponde aos espaços vazios localizados entre os cristais constituintes de uma rocha carbonática. Esta porosidade é comumente gerada ou modificada por processos diagenéticos, como a dolomitização ou recristalização. Nos reservatórios do Pré-Sal, ela é fundamental para a conectividade dos poros e, consequentemente, para a permeabilidade da rocha."
Intracrystalline Porosity,quality,"The NLD describes porosity as a characteristic that develops within crystals and contributes to storage volume, which is a quality that inheres in a bearer (the crystal).","Porosidade intracristalina é um tipo de porosidade secundária que se desenvolve no interior de cristais individuais. Sua origem está associada a processos diagenéticos, como a dissolução seletiva ao longo de planos de clivagem ou a substituição mineral incompleta. Em reservatórios carbonáticos do Pré-Sal, esta porosidade é frequentemente observada em romboedros de dolomita, contribuindo para o volume total de armazenamento do sistema."
Fenestral Porosity,site,"The NLD defines the term as 'irregular openings' within a rock, which aligns with the BFO definition of a site as a three-dimensional immaterial entity whose boundaries are determined by a material entity.","Porosidade Fenestral é um tipo de porosidade primária que se caracteriza por aberturas irregulares, maiores que os poros da trama sedimentar, formadas principalmente pelo aprisionamento de gás ou por dessecação. Nos reservatórios do Pré-Sal, esta porosidade é uma feição diagnóstica de microbialitos lacustres, onde sua gênese está associada à produção de gases pela atividade microbiana. A sua elevada conectividade contribui de forma crucial para a permeabilidade do reservatório, definindo zonas de alto fluxo."
