Term,NLD
Sabkha,"Sabkha é um ambiente deposicional de planície supramaré, desenvolvido nas margens de lagos salinos ou mares restritos sob clima árido, que é caracterizado pela precipitação de minerais evaporíticos nos sedimentos. Neste ambiente, a intensa evaporação da água intersticial leva à formação de crostas e nódulos de anidrita, gipsita e halita, que podem obliterar a porosidade primária das rochas. No contexto do Pré-Sal brasileiro, as fácies de sabkha estão frequentemente associadas à base da sequência evaporítica do Aptiano, influenciando a qualidade de reservatórios e atuando como selos locais."
Deepwater System,"Um Sistema de Águas Profundas é um sistema deposicional que compreende um conjunto tridimensional de litofácies geneticamente relacionadas, formadas em ambientes marinhos ou lacustres com profundidade de água suficiente para que a sedimentação seja dominada por processos gravitacionais. Estes sistemas são caracterizados por elementos arquiteturais distintos, como canais, lobos e leques, resultantes de correntes de turbidez e fluxos de detritos. No contexto brasileiro, tais sistemas englobam tanto os reservatórios siliciclásticos do pós-sal quanto o ambiente deposicional dos carbonatos microbiais lacustres do pré-sal."
Turbidite,"Um turbidito é um depósito sedimentar carbonático que resulta da deposição por uma corrente de turbidez, a qual transporta grãos de áreas plataformais rasas para as porções mais profundas de um sistema lacustre. No contexto do Pré-Sal, estes depósitos são cruciais por frequentemente constituírem reservatórios de alta qualidade, compostos por grãos como ooides e bioclastos retrabalhados."
Debris Flow,"Debris Flow é um fluxo gravitacional de sedimento que se caracteriza por uma alta concentração de sedimentos carbonáticos de granulometria variada, suportados por uma matriz lamosa. Este mecanismo é responsável pelo transporte de material retrabalhado das margens da plataforma para as porções mais profundas da bacia. O depósito resultante, denominado debrito, tipicamente exibe uma textura caótica e má seleção, constituindo importantes fácies de reservatório nos sistemas carbonáticos do Pré-Sal."
Carbonate Ramp,"Rampa Carbonática é um sistema deposicional carbonático que se caracteriza por um perfil de baixíssimo ângulo com mergulho suave e contínuo em direção à bacia, sem uma quebra de talude pronunciada ou barreira marginal. Esta morfologia controla a distribuição de fácies pela atenuação gradual da energia de ondas e correntes com o aumento da profundidade. No contexto do Pré-Sal brasileiro, este modelo lacustre governa a distribuição de reservatórios, posicionando coquinas e esferulititos de alta energia em áreas proximais e microbialitos de baixa energia em porções mais distais."
Carbonate Shelf,"Uma Plataforma Carbonática é um sistema deposicional amplo e raso que se caracteriza pela geração e acumulação de sedimentos carbonáticos de origem microbial, bioclástica e/ou físico-química. No contexto do Pré-Sal brasileiro, este sistema desenvolveu-se em um ambiente lacustre de águas alcalinas e salinas durante a fase sag da margem continental. Suas fácies de maior energia e seus biohermas constituem os principais reservatórios do sistema petrolífero, possuindo alta porosidade e permeabilidade primárias."
Rimmed Shelf,"Plataforma Bordejada é um sistema deposicional carbonático que se caracteriza por uma barreira marginal de alta energia, frequentemente composta por construções microbiais, esferulíticas ou coquinas no contexto do Pré-Sal. Esta barreira restringe a circulação de água, separando uma área de plataforma interna ou laguna de baixa energia de uma rampa ou talude de bacia mais profundo. A morfologia resultante controla a distribuição de fácies, influenciando diretamente a localização de rochas reservatório de alta qualidade na própria barreira e de rochas geradoras no interior da laguna."
Isolated Platform,"Uma Plataforma Isolada é uma plataforma carbonática que se desenvolve sobre um alto estrutural do embasamento, sem conexão com uma margem continental e completamente circundada por um corpo de água mais profundo. No contexto do Pré-Sal brasileiro, estas feições são tipicamente desenvolvidas em um sistema lacustre de idade Aptiana, sendo constituídas predominantemente por rochas carbonáticas de origem microbiana e abiótica que formam reservatórios de alta qualidade."
Buildup,"Um buildup é um corpo carbonático com relevo topográfico positivo que é formado por crescimento predominantemente in situ em um ambiente lacustre. No contexto do Pré-Sal brasileiro, é composto principalmente por carbonatos de origem abiótica e/ou microbiana, como as fácies esferulíticas e arbustivas. Essas acumulações constituem os principais e mais produtivos reservatórios de hidrocarbonetos dessa província petrolífera."
Reef,"Recife é uma estrutura carbonática com relevo topográfico positivo que é formada in situ, em ambiente lacustre, predominantemente pela atividade de microrganismos e/ou por precipitação química de carbonatos (shrubs e esferulitos). No Pré-Sal brasileiro, estas feições constituem os principais e mais produtivos reservatórios de hidrocarbonetos."
Shoal,"Shoal é um corpo carbonático granular que é acumulado em uma área topograficamente elevada do fundo marinho sob condições de alta energia hidrodinâmica. Essa energia é responsável pela seleção e retrabalhamento de grãos como ooides e bioclastos, e pela remoção da fração fina de lama carbonática. Consequentemente, estes depósitos frequentemente desenvolvem elevada porosidade e permeabilidade primárias, constituindo importantes reservatórios de hidrocarbonetos no Pré-Sal brasileiro."
Bar,"Uma barra é um corpo deposicional carbonático com geometria alongada, constituído por grãos como oólitos e bioclastos que são retrabalhados e selecionados pela ação de ondas e correntes em ambientes lacustres rasos de alta energia. Esta fácies deposicional tipicamente desenvolve alta porosidade e permeabilidade primária, formando alguns dos mais prolíficos reservatórios de hidrocarbonetos do Pré-Sal brasileiro."
Channel,Canal é um corpo sedimentar carbonático alongado que atua como um conduto para o transporte e deposição de grãos por fluxos concentrados em um sistema lacustre. Seus depósitos de alta energia e boa seleção frequentemente constituem reservatórios de excelente porosidade e permeabilidade no contexto do Pré-Sal. Esta feição representa um alvo exploratório chave para o desenvolvimento de campos petrolíferos.
Levee,"Levee é um elemento arquitetural deposicional que consiste em uma feição alongada de baixo relevo, paralela a um canal, construído pela deposição de sedimentos de granulometria fina a muito fina a partir do transbordamento de fluxos gravitacionais de sedimento. No contexto do Pré-Sal, estes depósitos podem ser compostos por carbonatos ou siliciclásticos e geralmente apresentam qualidade de reservatório inferior à dos depósitos de canal associados. Sua geometria e baixa permeabilidade podem atuar como barreiras ou baffles ao fluxo de fluidos no reservatório."
Overbank Deposit,"Depósito de transbordamento é um depósito sedimentar carbonático que é formado pela acumulação de sedimentos de granulometria fina, predominantemente micríticos ou bioclásticos, transportados em suspensão por fluxos que extravasam as margens de um eixo deposicional de maior energia. Estes depósitos são caracteristicamente de baixa energia e ocorrem lateralmente às fácies de canal ou de lobos proximais no sistema deposicional lacustre. Sua ocorrência e geometria impactam diretamente a heterogeneidade e a conectividade do reservatório."
Crevasse Splay,"Leque de Crevasse é um corpo sedimentar clástico, tipicamente arenoso e com geometria lobada, que é formado pela ruptura de um dique marginal de um canal fluvial ou deltaico. No contexto do Pré-Sal, estes depósitos ocorrem associados a sistemas flúvio-lacustres que progradam sobre as sequências carbonáticas. Eles representam eventos de maior energia e podem constituir importantes heterogeneidades ou reservatórios secundários intercalados aos carbonatos."
Littoral Zone,"Zona Litorânea é uma faixa do ambiente deposicional que se localiza na margem de um corpo d'água e é dominada pela ação de ondas entre o nível d'água mais alto e a base de onda de tempo bom. No contexto do Pré-Sal, este ambiente lacustre de alta energia é fundamental para a deposição e retrabalhamento de carbonatos, como coquinas e esferulititos, que constituem rochas reservatório de excelente qualidade."
